Date,Time,State,Cured,Deaths,Confirmed
30-01-20,6:00 PM,Lagos,0,0,1
31-01-20,6:00 PM,Lagos,0,0,1
02-01-20,6:00 PM,Lagos,0,0,2
02-02-20,6:00 PM,Lagos,0,0,3
02-03-20,6:00 PM,Lagos,0,0,3
02-04-20,6:00 PM,Lagos,0,0,3
02-05-20,6:00 PM,Lagos,0,0,3
02-06-20,6:00 PM,Lagos,0,0,3
02-07-20,6:00 PM,Lagos,0,0,3
02-08-20,6:00 PM,Lagos,0,0,3
02-09-20,6:00 PM,Lagos,0,0,3
02-10-20,6:00 PM,Lagos,0,0,3
02-11-20,6:00 PM,Lagos,0,0,3
02-12-20,6:00 PM,Lagos,0,0,3
13-02-20,6:00 PM,Lagos,0,0,3
14-02-20,6:00 PM,Lagos,0,0,3
15-02-20,6:00 PM,Lagos,0,0,3
16-02-20,6:00 PM,Lagos,0,0,3
17-02-20,6:00 PM,Lagos,0,0,3
18-02-20,6:00 PM,Lagos,0,0,3
19-02-20,6:00 PM,Lagos,0,0,3
20-02-20,6:00 PM,Lagos,0,0,3
21-02-20,6:00 PM,Lagos,0,0,3
22-02-20,6:00 PM,Lagos,0,0,3
23-02-20,6:00 PM,Lagos,0,0,3
24-02-20,6:00 PM,Lagos,0,0,3
25-02-20,6:00 PM,Lagos,0,0,3
26-02-20,6:00 PM,Lagos,0,0,3
27-02-20,6:00 PM,Lagos,0,0,3
28-02-20,6:00 PM,Lagos,0,0,3
29-02-20,6:00 PM,Lagos,0,0,3
03-01-20,6:00 PM,Lagos,0,0,3
03-02-20,6:00 PM,Imo,0,0,1
03-02-20,6:00 PM,Lagos,0,0,3
03-02-20,6:00 PM,Abuja,0,0,1
03-03-20,6:00 PM,Imo,0,0,1
03-03-20,6:00 PM,Bayelsa,0,0,1
03-03-20,6:00 PM,Lagos,3,0,3
03-03-20,6:00 PM,Abuja,0,0,1
03-04-20,6:00 PM,Osun,0,0,6
03-04-20,6:00 PM,Lagos,3,0,3
03-04-20,6:00 PM,plateau,0,0,2
03-04-20,6:00 PM,Abuja,0,0,1
03-04-20,6:00 PM,Imo,0,0,1
03-04-20,6:00 PM,Bayelsa,0,0,15
03-05-20,6:00 PM,Abuja,0,0,2
03-05-20,6:00 PM,plateau,0,0,2
03-05-20,6:00 PM,Lagos,3,0,3
03-05-20,6:00 PM,Bayelsa,0,0,15
03-05-20,6:00 PM,Imo,0,0,1
03-05-20,6:00 PM,Osun,0,0,7
03-06-20,6:00 PM,Abuja,0,0,3
03-06-20,6:00 PM,plateau,0,0,2
03-06-20,6:00 PM,Lagos,3,0,3
03-06-20,6:00 PM,Bayelsa,0,0,15
03-06-20,6:00 PM,Osun,0,0,7
03-06-20,6:00 PM,Imo,0,0,1
03-07-20,6:00 PM,Lagos,3,0,3
03-07-20,6:00 PM,Osun,0,0,7
03-07-20,6:00 PM,Yobe,0,0,2
03-07-20,6:00 PM,Imo,0,0,1
03-07-20,6:00 PM,Rivers,0,0,1
03-07-20,6:00 PM,Abuja,0,0,3
03-07-20,6:00 PM,plateau,0,0,2
03-07-20,6:00 PM,Bayelsa,0,0,15
03-08-20,6:00 PM,Yobe,0,0,2
03-08-20,6:00 PM,Imo,0,0,1
03-08-20,6:00 PM,Rivers,0,0,1
03-08-20,6:00 PM,Bayelsa,0,0,15
03-08-20,6:00 PM,Lagos,3,0,8
03-08-20,6:00 PM,plateau,0,0,2
03-08-20,6:00 PM,Abuja,0,0,3
03-08-20,6:00 PM,Osun,0,0,7
03-09-20,6:00 PM,Yobe,0,0,2
03-09-20,6:00 PM,Gombe,0,0,1
03-09-20,6:00 PM,Lagos,3,0,9
03-09-20,6:00 PM,Lagos,0,0,2
03-09-20,6:00 PM,Delta,0,0,1
03-09-20,6:00 PM,Bayelsa,0,0,15
03-09-20,6:00 PM,Rivers,0,0,1
03-09-20,6:00 PM,Imo,0,0,1
03-09-20,6:00 PM,Jigawa,0,0,1
03-09-20,6:00 PM,Osun,0,0,7
03-09-20,6:00 PM,plateau,0,0,2
03-09-20,6:00 PM,Abuja,0,0,4
03-10-20,6:00 PM,Osun,0,0,7
03-10-20,6:00 PM,Yobe,0,0,2
03-10-20,6:00 PM,Abuja,0,0,4
03-10-20,6:00 PM,plateau,0,0,2
03-10-20,6:00 PM,Gombe,0,0,4
03-10-20,6:00 PM,Lagos,3,0,15
03-10-20,6:00 PM,Lagos,0,0,5
03-10-20,6:00 PM,Delta,0,0,1
03-10-20,6:00 PM,Bayelsa,0,0,15
03-10-20,6:00 PM,Rivers,0,0,1
03-10-20,6:00 PM,Imo,0,0,1
03-10-20,6:00 PM,Jigawa,0,0,1
03-11-20,6:00 PM,Lagos,0,0,2
03-11-20,6:00 PM,Abuja,0,0,5
03-11-20,6:00 PM,plateau,0,0,14
03-11-20,6:00 PM,Lagos,3,0,17
03-11-20,6:00 PM,Bayelsa,0,0,3
03-11-20,6:00 PM,Imo,0,0,1
03-11-20,6:00 PM,Osun,0,0,9
03-11-20,6:00 PM,Yobe,0,0,2
03-11-20,6:00 PM,Rivers,0,0,1
03-11-20,6:00 PM,Jigawa,0,0,1
03-11-20,6:00 PM,Delta,0,0,1
03-11-20,6:00 PM,Gombe,0,0,4
03-12-20,6:00 PM,Abuja,0,0,6
03-12-20,6:00 PM,plateau,0,0,14
03-12-20,6:00 PM,Lagos,3,0,17
03-12-20,6:00 PM,Bayelsa,0,0,3
03-12-20,6:00 PM,Imo,0,0,1
03-12-20,6:00 PM,Osun,0,0,11
03-12-20,6:00 PM,Yobe,0,0,3
03-12-20,6:00 PM,Rivers,0,0,1
03-12-20,6:00 PM,Jigawa,0,0,1
03-12-20,6:00 PM,Delta,0,0,1
03-12-20,6:00 PM,Gombe,0,0,4
03-12-20,6:00 PM,Lagos,0,0,11
03-12-20,6:00 PM,Ogun,0,0,1
13-03-20,6:00 PM,Abuja,0,0,6
13-03-20,6:00 PM,plateau,0,0,14
13-03-20,6:00 PM,Lagos,3,0,19
13-03-20,6:00 PM,Bayelsa,0,0,3
13-03-20,6:00 PM,Imo,0,0,1
13-03-20,6:00 PM,Osun,0,0,11
13-03-20,6:00 PM,Yobe,0,0,3
13-03-20,6:00 PM,Rivers,0,0,1
13-03-20,6:00 PM,Jigawa,0,0,1
13-03-20,6:00 PM,Delta,0,0,1
13-03-20,6:00 PM,Gombe,0,1,6
13-03-20,6:00 PM,Lagos,0,0,14
13-03-20,6:00 PM,Ogun,0,0,1
14-03-20,6:00 PM,Abuja,1,1,7
14-03-20,6:00 PM,plateau,0,0,14
14-03-20,6:00 PM,Lagos,3,0,19
14-03-20,6:00 PM,Bayelsa,1,0,3
14-03-20,6:00 PM,Imo,0,0,1
14-03-20,6:00 PM,Osun,5,0,12
14-03-20,6:00 PM,Yobe,0,0,3
14-03-20,6:00 PM,Rivers,0,0,1
14-03-20,6:00 PM,Jigawa,0,0,2
14-03-20,6:00 PM,Delta,0,0,1
14-03-20,6:00 PM,Gombe,0,1,6
14-03-20,6:00 PM,Lagos,0,0,14
14-03-20,6:00 PM,Ogun,0,0,1
15-03-20,6:00 PM,Ogun,0,0,1
15-03-20,6:00 PM,Abuja,2,1,7
15-03-20,6:00 PM,plateau,0,0,14
15-03-20,6:00 PM,Gombe,0,1,6
15-03-20,6:00 PM,Lagos,3,0,22
15-03-20,6:00 PM,Lagos,0,0,32
15-03-20,6:00 PM,Delta,0,0,1
15-03-20,6:00 PM,Bayelsa,3,0,4
15-03-20,6:00 PM,Rivers,0,0,1
15-03-20,6:00 PM,Imo,1,0,3
15-03-20,6:00 PM,Jigawa,0,0,2
15-03-20,6:00 PM,Yobe,0,0,3
15-03-20,6:00 PM,Osun,4,0,13
15-03-20,6:00 PM,Adamawa,0,0,1
16-03-20,6:00 PM,Ogun,0,0,1
16-03-20,6:00 PM,Abuja,2,1,7
16-03-20,6:00 PM,plateau,0,0,14
16-03-20,6:00 PM,Gombe,0,1,6
16-03-20,6:00 PM,Lagos,3,0,23
16-03-20,6:00 PM,Lagos,0,0,32
16-03-20,6:00 PM,Abia,0,0,1
16-03-20,6:00 PM,Delta,0,0,1
16-03-20,6:00 PM,Bayelsa,3,0,4
16-03-20,6:00 PM,Rivers,0,0,1
16-03-20,6:00 PM,Imo,1,0,3
16-03-20,6:00 PM,Jigawa,0,0,3
16-03-20,6:00 PM,Yobe,0,0,4
16-03-20,6:00 PM,Osun,4,0,13
16-03-20,6:00 PM,Adamawa,0,0,1
17-03-20,6:00 PM,Ogun,0,0,1
17-03-20,6:00 PM,Abuja,2,1,8
17-03-20,6:00 PM,plateau,0,0,15
17-03-20,6:00 PM,Gombe,0,1,11
17-03-20,6:00 PM,Lagos,3,0,26
17-03-20,6:00 PM,Lagos,0,1,39
17-03-20,6:00 PM,Abia,0,0,1
17-03-20,6:00 PM,Delta,0,0,1
17-03-20,6:00 PM,Bayelsa,3,0,4
17-03-20,6:00 PM,Rivers,0,0,1
17-03-20,6:00 PM,Imo,1,0,5
17-03-20,6:00 PM,Jigawa,0,0,3
17-03-20,6:00 PM,Yobe,0,0,6
17-03-20,6:00 PM,Osun,5,0,15
17-03-20,6:00 PM,Adamawa,0,0,1
18-03-20,6:00 PM,Ogun,0,0,1
18-03-20,6:00 PM,Abuja,2,1,10
18-03-20,6:00 PM,plateau,0,0,17
18-03-20,6:00 PM,Gombe,0,1,11
18-03-20,6:00 PM,Lagos,3,0,27
18-03-20,6:00 PM,Lagos,0,1,42
18-03-20,6:00 PM,Abia,0,0,1
18-03-20,6:00 PM,Niger,0,0,1
18-03-20,6:00 PM,Delta,0,0,1
18-03-20,6:00 PM,Bayelsa,3,0,4
18-03-20,6:00 PM,Rivers,0,0,1
18-03-20,6:00 PM,Imo,1,0,6
18-03-20,6:00 PM,Jigawa,0,0,3
18-03-20,6:00 PM,Yobe,0,0,8
18-03-20,6:00 PM,Osun,5,0,16
18-03-20,6:00 PM,Adamawa,0,0,1
18-03-20,6:00 PM,Kaduna,0,0,1
19-03-20,6:00 PM,Ogun,0,0,2
19-03-20,6:00 PM,Akwa Ibom,0,0,1
19-03-20,6:00 PM,Abuja,3,1,12
19-03-20,6:00 PM,plateau,0,0,17
19-03-20,6:00 PM,Gombe,0,1,14
19-03-20,6:00 PM,Lagos,3,0,27
19-03-20,6:00 PM,Lagos,0,1,47
19-03-20,6:00 PM,Abia,0,0,1
19-03-20,6:00 PM,Niger,0,0,1
19-03-20,6:00 PM,Delta,0,1,2
19-03-20,6:00 PM,Bayelsa,3,0,7
19-03-20,6:00 PM,Rivers,1,0,2
19-03-20,6:00 PM,Imo,1,0,6
19-03-20,6:00 PM,Enugu,0,0,1
19-03-20,6:00 PM,Jigawa,0,0,4
19-03-20,6:00 PM,Yobe,0,0,8
19-03-20,6:00 PM,Osun,9,0,19
19-03-20,6:00 PM,Adamawa,0,0,1
19-03-20,6:00 PM,Kaduna,0,0,1
20-03-20,6:00 PM,Ogun,0,0,3
20-03-20,6:00 PM,Akwa Ibom,0,0,1
20-03-20,6:00 PM,Abuja,5,1,17
20-03-20,6:00 PM,Ebonyi,0,0,5
20-03-20,6:00 PM,plateau,0,0,17
20-03-20,6:00 PM,Gombe,1,1,15
20-03-20,6:00 PM,Lagos,3,0,28
20-03-20,6:00 PM,Lagos,0,1,52
20-03-20,6:00 PM,Abia,0,0,2
20-03-20,6:00 PM,Niger,0,0,1
20-03-20,6:00 PM,Delta,0,1,2
20-03-20,6:00 PM,Bayelsa,3,0,17
20-03-20,6:00 PM,Rivers,1,0,3
